56,92,50,51,1
47,40,43,86,1
68,80,96,55,1
78,45,61,49,1
93,80,63,72,1
52,54,81,69,0
50,43,85,94,0
41,51,72,88,0
88,49,94,89,1
65,78,58,59,1
40,77,68,80,1
99,96,80,66,1
77,42,61,45,1
71,66,94,76,1
62,81,42,74,1
49,93,84,97,1
84,58,59,42,1
53,88,69,91,0
77,60,86,74,1
72,48,93,80,1
77,53,40,41,1
80,46,66,69,1
45,90,74,66,1
48,85,44,91,0
78,68,82,77,1
51,52,55,96,0
56,96,81,60,1
72,67,74,56,1
69,85,61,80,1
82,43,65,62,1
57,57,54,68,0
70,46,45,54,0
63,82,48,85,1
50,50,57,89,0
84,75,96,54,1
43,43,94,78,0
87,89,54,81,1
96,68,46,86,1
58,61,52,86,1
70,87,63,51,1
82,75,91,69,1
58,81,56,92,1
89,53,42,65,1
55,92,67,91,1
65,51,65,40,0
81,95,89,73,0
94,83,86,60,1
99,99,77,88,1
48,43,73,73,0
61,94,77,44,1
77,72,72,73,1
95,88,63,90,1
85,48,63,77,1
51,95,90,69,1
85,74,81,58,0
93,83,69,80,1
71,63,78,55,1
59,42,96,91,1
62,96,51,73,1
89,47,72,65,0
45,90,41,65,0
83,96,81,93,1
55,51,68,44,0
80,45,94,70,0
96,79,81,94,1
98,55,92,55,1
44,46,69,72,0
77,59,52,49,1
61,59,90,73,1
57,92,66,92,1
88,72,78,85,1
89,43,78,50,1
96,53,95,49,0
98,43,76,96,1
49,61,40,76,0
77,78,74,94,1
46,94,70,97,1
84,61,73,89,1
40,75,90,81,0
68,65,42,92,1
62,98,73,66,1
79,57,68,85,1
84,51,97,74,1
62,76,95,65,0
47,82,62,94,1
69,58,73,88,1
60,44,51,98,1
91,69,81,54,1
46,57,98,42,0
85,87,50,90,1
51,67,66,66,0
98,65,55,67,1
56,81,86,90,1
54,73,81,47,1
65,62,68,55,1
90,47,45,84,1
89,51,61,72,1
61,47,86,63,1
41,43,93,48,0
86,49,93,55,1
68,65,43,96,1
58,92,44,51,1
80,61,40,62,1
93,84,81,61,1
48,89,52,92,1
48,48,58,78,0
78,61,89,48,1
63,49,48,55,0
87,55,77,44,1
67,50,59,70,1
61,72,41,67,1
71,43,98,85,1
43,76,81,40,1
84,58,84,83,1
44,66,45,88,0
83,83,48,67,1
50,88,63,90,1
56,98,62,68,1
93,96,56,66,1
74,76,58,53,1
71,62,45,54,1
66,86,78,59,1
90,93,93,75,1
50,64,71,98,1
50,99,79,63,1
80,72,43,95,1
47,56,40,71,0
43,90,79,48,0
65,71,62,59,1
90,40,84,68,1
85,41,67,60,1
41,56,63,55,0
85,87,42,90,1
91,41,93,50,1
48,79,73,78,1
82,75,82,84,1
61,97,96,43,1
51,47,58,86,0
47,71,53,73,0
47,96,89,71,1
51,73,42,67,0
98,81,81,81,1
62,83,49,41,1
42,90,85,65,1
54,51,48,49,1
57,68,97,86,1
84,83,82,49,1
47,67,95,45,0
52,91,79,55,1
51,91,66,71,1
64,96,82,79,1
92,89,57,40,1
46,57,87,65,0
65,96,65,82,1
68,71,72,53,1
79,98,99,72,0
68,75,74,53,1
43,69,50,63,0
83,70,83,95,1
60,79,67,64,1
46,43,44,65,0
80,51,48,61,1
75,49,57,83,0
82,50,75,61,1
73,55,65,85,1
48,55,94,96,1
46,44,80,98,0
44,79,80,97,1
64,93,58,67,1
59,83,44,98,1
41,71,51,45,0
84,78,58,97,1
54,85,86,82,1
76,67,45,74,1
74,59,53,67,0
45,64,93,44,0
58,51,90,63,1
76,61,90,74,1
41,96,83,65,0
60,81,77,77,1
91,76,87,57,1
42,71,79,88,0
47,90,57,78,1
63,68,79,47,1
55,56,80,71,1
85,87,46,88,1
53,49,78,65,0
70,63,55,70,1
79,89,55,86,0
77,75,51,49,1
70,53,42,57,1
65,72,80,85,1
98,40,77,80,1
97,43,98,71,1
95,60,50,62,1
95,89,80,91,1
99,87,81,65,1
83,64,58,40,1
92,42,99,72,1
90,43,73,92,1
