87,70,61,46,0
73,68,62,72,1
40,63,89,85,1
69,98,98,91,1
60,57,84,76,1
49,49,55,69,0
81,74,72,95,1
95,71,84,93,1
97,96,47,78,1
49,68,83,91,1
65,89,83,96,1
88,83,84,91,1
95,88,69,41,1
75,49,73,88,1
79,64,43,68,0
74,53,86,88,1
89,86,64,43,1
86,86,98,81,1
46,80,57,54,1
60,83,92,76,1
74,48,54,76,0
67,71,54,42,0
69,68,81,65,1
51,50,60,46,0
59,72,44,43,0
66,42,58,90,0
61,48,79,77,0
89,58,42,55,0
44,62,82,57,0
75,78,66,48,1
71,79,56,86,1
97,55,94,91,1
60,62,68,87,1
98,45,70,93,1
99,71,88,45,1
62,71,85,57,1
81,96,69,66,1
46,40,93,74,0
54,58,94,59,0
92,91,64,68,1
53,47,69,46,0
54,83,96,58,1
42,80,66,68,1
45,79,94,48,1
77,42,65,62,0
40,58,52,54,0
79,95,83,68,1
54,93,99,72,1
54,82,45,80,1
52,71,77,58,1
95,85,52,43,1
85,49,51,87,1
42,52,92,67,0
87,50,86,68,1
54,44,40,70,0
86,99,45,72,1
90,50,59,40,0
81,63,84,96,1
70,47,47,55,0
86,72,61,87,1
69,59,64,90,1
50,58,93,68,1
44,45,43,99,0
50,59,76,71,1
70,94,99,73,1
85,61,78,65,1
52,69,83,75,1
41,98,52,99,1
86,59,92,58,1
57,93,82,43,1
90,98,80,52,1
53,99,54,62,1
60,81,84,68,1
44,76,84,67,1
84,90,58,98,1
60,97,47,70,1
57,60,47,79,0
50,92,69,86,1
89,54,92,65,1
79,81,78,50,1
48,55,73,53,0
61,41,85,60,0
97,74,70,47,1
77,57,98,67,1
91,42,83,73,0
58,99,88,84,1
87,99,52,58,1
85,82,88,50,1
54,64,57,78,1
92,58,98,83,1
96,48,48,80,0
52,74,44,91,1
79,68,96,77,1
40,51,41,56,0
48,60,42,49,0
54,70,66,40,0
40,71,47,81,1
90,77,88,47,1
63,41,90,50,0
44,53,63,86,0
43,88,67,82,1
61,94,61,86,1
46,62,58,83,1
64,46,64,41,0
64,45,80,75,0
46,50,47,95,0
55,71,47,98,1
80,75,75,81,1
46,92,46,46,1
57,49,58,93,1
61,71,66,84,1
42,65,91,57,1
53,70,61,84,1
80,94,96,80,1
84,73,41,49,0
50,98,56,83,1
44,94,69,43,1
67,61,99,49,0
40,59,91,44,0
84,77,60,96,1
92,57,81,56,1
68,46,56,41,0
59,49,45,99,1
67,43,64,65,0
52,91,96,73,1
82,98,56,58,1
52,48,76,60,0
41,63,60,97,1
40,78,94,56,1
68,87,44,83,1
72,64,69,85,1
62,67,70,85,1
77,88,83,93,1
78,64,40,41,0
49,54,97,56,0
57,48,81,82,1
90,92,75,59,1
60,52,68,82,1
71,93,72,59,1
75,92,95,57,1
69,85,61,84,1
69,70,70,51,1
95,58,50,66,0
80,93,63,65,1
86,83,45,64,1
60,67,94,55,1
46,53,80,55,0
79,68,61,98,1
58,46,84,52,0
48,55,91,86,1
97,56,67,97,1
53,68,80,97,1
79,85,88,90,1
87,62,64,80,1
80,88,71,89,1
47,82,62,61,1
71,75,67,77,1
51,64,63,68,0
87,65,47,94,1
76,86,99,97,1
58,71,63,54,0
62,81,99,63,1
54,82,78,56,1
42,53,75,41,0
63,83,71,86,1
90,92,96,63,1
86,96,43,78,1
40,47,48,67,0
87,85,86,60,1
40,73,60,45,0
78,97,85,62,1
62,73,98,74,1
46,85,81,47,1
44,72,50,94,1
68,50,56,65,0
84,80,78,77,1
96,55,40,88,1
40,44,43,61,0
79,62,66,70,1
89,76,70,97,1
99,80,41,58,1
76,50,70,50,0
66,48,78,99,1
86,57,97,79,1
88,82,66,58,1
40,97,42,54,1
54,92,67,49,1
54,95,79,62,1
52,66,40,66,0
47,65,71,74,1
55,83,72,87,1
93,64,63,40,0
57,50,75,87,1
96,43,68,57,0
85,61,91,92,1
56,71,72,88,1
43,55,58,45,0
53,62,57,55,0
41,89,43,97,1
68,66,79,91,1
